date,views,caption,media_id
2020-04-02,UNAVAILABLE,"""Tefilla Be'sibbur- Qaddish Nosah"" by Joseph Harari #SCAMinhagoftheWeek",17886269584523421
2019-07-23,UNAVAILABLE,"“What is a Minhag?” Find out the answer to this and so many other Minhag topics such as Minhag vs. Halakha, The Value of Preserving Minhagim, How To Deal With a ‘Minhag Taoot’... by searching on YouTube “SCA Minhag of the Week 17 Be’Tammuz Panel 2019” #SCAMinhagoftheWeek",18088854439037613
